purpose_text,transaction_type
apple recurring subscription,subscription
FORUS TAXI INVOICE PAYMENT,transport
Spotify bank transfer,entertainment
rental agency november rent payment,rent
SPOTIFY SUBSCRIPTION PAYMENT,subscription
Apple order pay,shopping
Uber ride payment,transport
PlayStation game purchase concert ticket,entertainment
travel payment travel inv,transport
MONTHLY SUBSCRIPTION PAYMENT,subscription
coop grocery payment,groceries
PlayStation concert ticket,entertainment
forus taxi travel payment,transport
JOYCE LUNCH PAYMENT RESTAURANT PAYMENT,restaurant
Zalando online purchase,shopping
NETFLIX CONCERT TICKET,entertainment
Hesburger bank transfer,restaurant
Netflix game purchase,entertainment
LANDLORD MONTHLY RENT,rent
service payment Company Ltd,salary
ride pay,transport
apple service payment,shopping
Elisa utility payment,utilities
payroll june wage transfer,salary
Uber travel inv,transport
Elektrilevi utility payment,utilities
arvutitark order payment,shopping
APOLLO CINEMA CONCERT TICKET,entertainment
arvutitark card payment,shopping
Coop grocery pay,groceries
EURONICS CARD PAYMENT,shopping
utility bill june elektrilevi,utilities
Euronics order pay,shopping
vapiano lunch payment,restaurant
LANDLORD RENTAL PAYMENT,rent
bank transfer youtube,subscription
Zalando order payment,shopping
Joyce service payment,restaurant
APPLE ONLINE PURCHASE ONLINE SHOPPING,shopping
APOLLO CINEMA CONCERT TICKET,entertainment
ELISA UTILITY PAYMENT,utilities
apple february subscription payment,subscription
CONFIDO PHARMACY PURCHASE,healthcare
Coop card payment grocery store purchase,groceries
CONFIDO BANK TRANSFER,healthcare
COOP BANK TRANSFER,groceries
medical pay Apotheka,healthcare
Benu medical payment,healthcare
Coop inv payment supermarket payment,groceries
employer january salary payment monthly salary,salary
Rental Agency card payment,rent
Property Management June card pay,rent
Company Ltd wage transfer,salary
McDonalds lunch payment lunch payment,restaurant
restaurant payment,restaurant
UBER TRAVEL INVOICE,transport
ZALANDO ONLINE SHOPPING,shopping
Microsoft recurring sub,subscription
service payment Apotheka,healthcare
service payment property management,rent
online order amazon,shopping
PAYROLL JANUARY MONTHLY SALARY,salary
Elisa card payment utility bill,utilities
card pay Elisa,utilities
SPOTIFY MONTHLY SUBSCRIPTION PAYMENT RECURRING SUBSCRIPTION,subscription
CARD PAYMENT EURONICS,shopping
APRIL MONTHLY SUBSCRIPTION PAYMENT,subscription
CONFIDO MEDICAL PAYMENT,healthcare
Telia utility payment,utilities
Elektrilevi utility payment,utilities
LANDLORD CARD PAYMENT,rent
ELEKTRILEVI CARD PAYMENT,utilities
EMPLOYER INVOICE PAYMENT,salary
PAYROLL WAGE TRANSFER,salary
concert ticket,entertainment
Apple February subscription payment,subscription
CARD PAYMENT APOTHEKA,healthcare
LANDLORD APARTMENT RENT,rent
TRAVEL INVOICE,transport
benu medical payment,healthcare
pharmacy purchase,healthcare
card payment confido,healthcare
COOP BANK TRANSFER,groceries
Telia monthly subscription pay subscription pay,subscription
Rental Agency October rental payment,rent
MCDONALDS DINNER BILL,restaurant
subscription pay March Apple subscription pay,subscription
wage transfer,salary
Bolt ride inv,transport
landlord july rental payment,rent
netflix movie ticket,entertainment
LIDL GROCERY STORE PURCHASE,groceries
company ltd monthly salary,salary
synlab pharmacy purchase,healthcare
employer august wage transfer,salary
Elektrilevi utility payment,utilities
GROCERY STORE PURCHASE,groceries
LANDLORD APARTMENT RENT,rent
Company Ltd wage transfer,salary
LANDLORD BANK TRANSFER,rent
Elektrilevi utility pay,utilities
bank transfer Steam,entertainment
april utility bill,utilities
APOLLO CINEMA INVOICE PAYMENT GAME PURCHASE,entertainment
Zalando online shopping,shopping
YouTube recurring sub,subscription
FOOD DELIVERY ORDER,restaurant
Employer monthly salary service pay,salary
Elisa card pay,utilities
Spotify recurring subscription,subscription
CINEMA PAYMENT SERVICE PAYMENT PLAYSTATION,entertainment
TELIA FEBRUARY BANK TRANSFER,utilities
Elektrilevi card payment utility bill,utilities
GROCERY STORE PURCHASE,groceries
rental agency january card payment,rent
Apple January card payment,subscription
GROCERY PAYMENT SUPERMARKET PAYMENT,groceries
INVOICE PAYMENT JOYCE,restaurant
Apollo Cinema card payment,entertainment
mcdonalds restaurant payment,restaurant
playstation movie ticket cinema payment,entertainment
grocery store purchase supermarket pay,groceries
Lidl grocery payment,groceries
Uber travel inv,transport
COOP GROCERY PAYMENT,groceries
spotify service payment,subscription
CONFIDO PHARMACY PURCHASE,healthcare
Steam cinema payment,entertainment
lunch payment,restaurant
SERVICE PAYMENT APPLE,subscription
vapiano restaurant payment,restaurant
property management apartment rent,rent
Benu inv payment,healthcare
apple monthly subscription payment,subscription
Employer monthly salary,salary
travel pay,transport
Company Ltd October salary payment,salary
coop bank transfer,groceries
TRAVEL INVOICE,transport
LIDL SUPERMARKET PAYMENT GROCERY STORE PURCHASE,groceries
supermarket payment,groceries
RENTAL AGENCY APARTMENT RENT PAYMENT,rent
ORDER PAYMENT,shopping
Coop grocery payment,groceries
service payment medical payment Apotheka,healthcare
HESBURGER CAFE PURCHASE,restaurant
Selver card pay,groceries
Landlord card pay,rent
Forus Taxi ride pay travel pay,transport
Rental Agency invoice pay,rent
Landlord rental pay,rent
recurring subscription,subscription
VAPIANO FOOD DELIVERY ORDER RESTAURANT PAYMENT,restaurant
Confido doctor bill,healthcare
STEAM MOVIE TICKET,entertainment
Telia recurring subscription,subscription
subscription payment,subscription
EMPLOYER SALARY PAYMENT,salary
hesburger cafe purchase,restaurant
january rental payment,rent
EURONICS ONLINE ORDER,shopping
arvutitark invoice payment online shopping,shopping
Rental Agency January rent pay,rent
employer wage transfer,salary
CONFIDO PHARMACY PURCHASE,healthcare
Enefit utility bill utility payment,utilities
RECURRING SUBSCRIPTION,subscription
monthly salary,salary
benu doctor bill doctor bill,healthcare
elisa may utility bill utility payment,utilities
Uber card pay,transport
Uber travel inv,transport
pharmacy purchase,healthcare
microsoft recurring subscription,subscription
BANK TRANSFER COOP GROCERY STORE PURCHASE,groceries
Landlord rent payment,rent
JOYCE FOOD DELIVERY ORDER,restaurant
coop bank transfer,groceries
CARD PAYMENT ENEFIT,utilities
April utility pay,utilities
Uber ride invoice,transport
SELVER SERVICE PAYMENT,groceries
may apartment rent,rent
Confido medical payment doctor bill,healthcare
CONFIDO CARD PAYMENT MEDICAL PAYMENT,healthcare
Telia inv payment,utilities
HESBURGER LUNCH PAYMENT,restaurant
employer salary payment,salary
apple may monthly subscription payment,subscription
card payment property management,rent
EMPLOYER FEBRUARY SERVICE PAYMENT,salary
APPLE SERVICE PAYMENT,shopping
PlayStation concert ticket,entertainment
LIDL CARD PAYMENT,groceries
invoice pay January,rent
forus taxi bank transfer,transport
GAME PURCHASE,entertainment
Zalando inv payment,shopping
Vapiano service payment,restaurant
BOLT RIDE PAYMENT,transport
invoice payment maxima,groceries
VAPIANO CAFE PURCHASE,restaurant
MICROSOFT MONTHLY SUBSCRIPTION PAYMENT,subscription
Forus Taxi travel inv travel payment,transport
company ltd wage transfer,salary
steam movie ticket game purchase,entertainment
Forus Taxi service pay,transport
Enefit July bank transfer,utilities
Company Ltd monthly salary,salary
FORUS TAXI RIDE PAYMENT,transport
rental pay August,rent
Elektrilevi January utility payment,utilities
Apollo Cinema service pay,entertainment
Hesburger lunch payment restaurant payment,restaurant
forus taxi travel invoice,transport
APOLLO CINEMA GAME PURCHASE CINEMA PAYMENT,entertainment
RENTAL AGENCY MONTHLY RENT,rent
WAGE TRANSFER,salary
service payment arvutitark,shopping
BANK TRANSFER PLAYSTATION,entertainment
Company Ltd May card payment,salary
Microsoft subscription payment,subscription
Landlord rental pay monthly rent,rent
ELEKTRILEVI UTILITY PAYMENT,utilities
BANK TRANSFER MAXIMA,groceries
Forus Taxi service payment,transport
Benu doctor bill,healthcare
steam cinema payment,entertainment
forus taxi travel payment,transport
Company Ltd monthly salary,salary
coop service payment,groceries
Employer card pay,salary
Zalando online shopping online shopping,shopping
Lidl grocery store purchase,groceries
telia may bank transfer,utilities
PLAYSTATION GAME PURCHASE,entertainment
cafe purchase,restaurant
Telia monthly subscription payment,subscription
Hesburger food delivery order,restaurant
EMPLOYER BANK TRANSFER,salary
BENU PHARMACY PURCHASE,healthcare
EMPLOYER OCTOBER WAGE TRANSFER,salary
Euronics online order,shopping
recurring subscription pay,subscription
Property Management rent pay,rent
ELISA SEPTEMBER UTILITY BILL UTILITY BILL,utilities
Spotify invoice payment,entertainment
elisa service payment,utilities
may utility payment,utilities
sub payment,subscription
Coop inv payment,groceries
Joyce cafe purchase lunch pay,restaurant
BENU DOCTOR BILL,healthcare
card pay McDonalds,restaurant
steam game purchase,entertainment
rental agency invoice payment,rent
Vapiano restaurant payment dinner bill,restaurant
Euronics order payment online purchase,shopping
Amazon invoice payment,shopping
RIDE PAYMENT,transport
vapiano card payment,restaurant
LIDL GROCERY PAYMENT,groceries
Benu medical payment,healthcare
,groceries
Company Ltd January monthly salary,salary
Microsoft invoice pay,subscription
forus taxi bank transfer,transport
Apotheka card pay,healthcare
microsoft monthly subscription payment,subscription
YouTube subscription payment,subscription
Payroll invoice payment,salary
youtube monthly subscription payment,subscription
Uber invoice payment,transport
Amazon online order,shopping
Synlab doctor bill,healthcare
Company Ltd September wage transfer monthly salary,salary
LANDLORD SEPTEMBER RENTAL PAYMENT,rent
travel pay ride invoice,transport
euronics card payment,shopping
employer monthly salary monthly salary,salary
Landlord June monthly rent rental payment,rent
ride inv ride payment,transport
Forus Taxi card payment,transport
October bank transfer,utilities
SELVER GROCERY STORE PURCHASE,groceries
forus taxi invoice payment,transport
joyce dinner bill,restaurant
Payroll invoice pay monthly salary,salary
EMPLOYER JANUARY CARD PAYMENT,salary
landlord april bank transfer,rent
Apollo Cinema payment,entertainment
mcdonalds cafe purchase food delivery order,restaurant
EMPLOYER CARD PAYMENT,salary
company ltd wage transfer,salary
???,utilities
monthly rent rental pay,rent
Joyce cafe purchase,restaurant
PHARMACY PURCHASE SYNLAB,healthcare
MAXIMA BANK TRANSFER,groceries
Amazon bank transfer,shopping
service payment Netflix,entertainment
Elektrilevi invoice payment,utilities
HESBURGER RESTAURANT PAYMENT,restaurant
euronics bank transfer online purchase,shopping
payroll salary payment,salary
Apotheka card pay,healthcare
ELISA MARCH BANK TRANSFER,utilities
amazon invoice payment,shopping
utility pay,utilities
rent payment,rent
Telia subscription payment,subscription
property management april rental payment,rent
ARVUTITARK ONLINE PURCHASE,shopping
uber ride payment,transport
Company Ltd monthly salary,salary
Euronics service payment,shopping
Apple card pay monthly subscription pay,subscription
mcdonalds lunch payment food delivery order,restaurant
bolt ride payment,transport
utility bill,utilities
Netflix June subscription payment,subscription
ENEFIT UTILITY BILL,utilities
apartment rent april property management rent payment,rent
ride invoice Forus Taxi,transport
Landlord bank transfer,rent
Joyce inv payment,restaurant
PAYROLL DECEMBER BANK TRANSFER,salary
doctor bill inv payment Synlab,healthcare
Elektrilevi utility payment,utilities
mcdonalds cafe purchase,restaurant
YouTube July recurring sub,subscription
EMPLOYER APRIL WAGE TRANSFER,salary
Arvutitark order pay,shopping
CARD PAYMENT MAXIMA,groceries
ZALANDO SERVICE PAYMENT,shopping
company ltd monthly salary,salary
MONTHLY SUBSCRIPTION PAYMENT,subscription
Maxima inv payment,groceries
hesburger lunch payment,restaurant
COMPANY LTD WAGE TRANSFER,salary
UBER INVOICE PAYMENT TRAVEL PAYMENT,transport
Uber travel pay,transport
subscription pay recurring subscription,subscription
Spotify cinema pay,entertainment
Rental Agency apartment rent,rent
RENTAL AGENCY APRIL RENTAL PAYMENT,rent
CAFE PURCHASE,restaurant
Joyce card pay,restaurant
apollo cinema service payment,entertainment
bank transfer Maxima,groceries
zalando order payment,shopping
Vapiano service payment,restaurant
Steam movie ticket,entertainment
BENU CARD PAYMENT,healthcare
forus taxi travel payment,transport
Coop card payment,groceries
Elisa January card payment,utilities
recurring sub,subscription
PHARMACY PURCHASE,healthcare
benu invoice payment,healthcare
cinema pay,entertainment
Spotify card pay,subscription
Amazon invoice payment,shopping
netflix june monthly subscription payment,subscription
supermarket payment,groceries
BANK TRANSFER ZALANDO,shopping
Rental Agency rental payment,rent
Zalando invoice payment,shopping
microsoft subscription payment,subscription
bolt ride payment ride invoice,transport
Apotheka bank transfer,healthcare
McDonalds invoice pay,restaurant
SYNLAB PHARMACY PURCHASE PHARMACY PURCHASE,healthcare
restaurant pay Hesburger,restaurant
CONCERT TICKET,entertainment
grocery store purchase,groceries
WAGE TRANSFER,salary
supermarket payment Lidl,groceries
RENTAL AGENCY JULY SERVICE PAYMENT,rent
UTILITY BILL UTILITY PAYMENT ELISA,utilities
steam concert ticket,entertainment
Coop grocery pay,groceries
monthly rent landlord may,rent
Uber travel pay,transport
joyce dinner bill dinner bill,restaurant
Microsoft February recurring subscription monthly subscription pay,subscription
Confido inv payment,healthcare
cinema payment,entertainment
FORUS TAXI RIDE PAYMENT TRAVEL PAYMENT,transport
NETFLIX CARD PAYMENT,entertainment
Forus Taxi ride payment ride payment,transport
apotheka pharmacy purchase pharmacy purchase,healthcare
Apotheka service pay,healthcare
order payment online order Apple,shopping
apollo cinema game purchase,entertainment
steam movie ticket,entertainment
wage transfer salary payment,salary
Coop grocery payment,groceries
Joyce dinner bill,restaurant
Apple inv payment online shopping,shopping
service payment Employer,salary
apotheka pharmacy purchase,healthcare
Employer wage transfer,salary
Joyce restaurant payment,restaurant
grocery store purchase grocery payment Lidl,groceries
game purchase,entertainment
APPLE INVOICE PAYMENT,subscription
ONLINE PURCHASE AMAZON,shopping
Apotheka doctor bill,healthcare
Landlord service payment rental payment,rent
apple bank transfer monthly subscription payment,subscription
spotify game purchase,entertainment
EURONICS ONLINE ORDER,shopping
RENTAL AGENCY RENT PAYMENT MAY,rent
LIDL GROCERY STORE PURCHASE,groceries
ELISA SERVICE PAYMENT,utilities
PlayStation card payment,entertainment
lidl supermarket payment grocery payment,groceries
NETFLIX BANK TRANSFER,entertainment
amazon service payment,shopping
Landlord apartment rent,rent
mcdonalds restaurant payment,restaurant
APOTHEKA DOCTOR BILL,healthcare
SERVICE PAYMENT EURONICS,shopping
Netflix subscription pay,subscription
grocery store purchase coop grocery payment,groceries
Company Ltd salary payment,salary
apotheka doctor bill,healthcare
company ltd september monthly salary,salary
apollo cinema payment,entertainment
Bolt invoice pay travel pay,transport
telia card payment,utilities
pharmacy purchase,healthcare
supermarket pay grocery pay,groceries
Coop card pay,groceries
Telia monthly subscription pay monthly subscription pay,subscription
Forus Taxi ride payment,transport
Spotify card pay,entertainment
cinema payment,entertainment
apple march subscription payment,subscription
VAPIANO DINNER BILL,restaurant
APPLE SEPTEMBER SERVICE PAYMENT MONTHLY SUBSCRIPTION PAYMENT,subscription
APOLLO CINEMA MOVIE TICKET,entertainment
APPLE CARD PAYMENT,shopping
Landlord October rental payment,rent
telia december invoice payment,utilities
Vapiano dinner bill dinner bill,restaurant
apollo cinema game purchase movie ticket,entertainment
RIDE PAYMENT TRAVEL PAYMENT,transport
YouTube service pay,subscription
Maxima supermarket payment,groceries
Amazon bank transfer order pay,shopping
Apotheka medical pay,healthcare
Forus Taxi bank transfer ride pay,transport
card payment property management,rent
monthly salary wage transfer,salary
Hesburger service pay,restaurant
Maxima invoice pay,groceries
employer salary payment wage transfer,salary
selver grocery payment,groceries
Lidl grocery store purchase,groceries
APOLLO CINEMA CARD PAYMENT,entertainment
MARCH UTILITY PAYMENT,utilities
RENTAL AGENCY AUGUST MONTHLY RENT,rent
benu doctor bill,healthcare
Maxima bank transfer,groceries
SALARY PAYMENT,salary
MAXIMA GROCERY STORE PURCHASE,groceries
CINEMA PAYMENT PLAYSTATION,entertainment
invoice pay Netflix,entertainment
amazon online purchase,shopping
June Telia bank transfer,utilities
medical pay,healthcare
SEPTEMBER WAGE TRANSFER SALARY PAYMENT PAYROLL,salary
card payment Coop,groceries
travel invoice,transport
June apartment rent rental pay,rent
LANDLORD MAY RENTAL PAYMENT RENTAL PAYMENT,rent
BOLT TRAVEL INVOICE RIDE PAYMENT,transport
invoice payment steam,entertainment
VAPIANO RESTAURANT PAYMENT,restaurant
Benu doctor bill,healthcare
SYNLAB DOCTOR BILL,healthcare
APOLLO CINEMA BANK TRANSFER,entertainment
Elektrilevi utility bill utility pay,utilities
order payment,shopping
apotheka doctor bill,healthcare
Forus Taxi travel inv,transport
Apollo Cinema game purchase,entertainment
Benu medical pay,healthcare
APOTHEKA CARD PAYMENT DOCTOR BILL,healthcare
TELIA MAY UTILITY PAYMENT,utilities
Forus Taxi ride pay,transport
travel invoice travel invoice,transport
APOTHEKA MEDICAL PAYMENT,healthcare
mcdonalds invoice payment,restaurant
travel invoice Bolt travel payment,transport
Uber ride invoice travel payment,transport
BENU DOCTOR BILL,healthcare
Apotheka medical payment,healthcare
Spotify cinema pay,entertainment
doctor bill doctor bill,healthcare
movie ticket,entertainment
BANK TRANSFER COMPANY LTD,salary
Bolt travel inv,transport
Joyce food delivery order,restaurant
Amazon sub payment,subscription
UBER TRAVEL PAYMENT RIDE INVOICE,transport
MICROSOFT BANK TRANSFER,subscription
Apple order pay,shopping
Confido medical payment,healthcare
Arvutitark service payment,shopping
Amazon bank transfer,subscription
service payment Zalando,shopping
YouTube recurring sub recurring sub,subscription
amazon bank transfer order payment,shopping
BOLT BANK TRANSFER,transport
MOVIE TICKET,entertainment
Apple sub payment,subscription
apartment rent June Landlord,rent
Vapiano lunch pay,restaurant
June sub payment,subscription
apotheka doctor bill,healthcare
Forus Taxi ride inv,transport
company ltd bank transfer,salary
Company Ltd invoice payment,salary
food delivery order,restaurant
Lidl invoice payment,groceries
enefit october utility bill,utilities
Employer August salary payment,salary
Payroll service payment,salary
ENEFIT BANK TRANSFER,utilities
SALARY PAYMENT PAYROLL,salary
cinema payment Steam invoice payment,entertainment
benu card payment,healthcare
INVOICE PAYMENT HESBURGER,restaurant
FORUS TAXI TRAVEL INVOICE,transport
forus taxi travel invoice,transport
MCDONALDS RESTAURANT PAYMENT,restaurant
forus taxi travel invoice,transport
Forus Taxi travel invoice,transport
apartment rent rental agency,rent
Employer monthly salary payment,salary
Telia utility payment,utilities
YOUTUBE JANUARY SUBSCRIPTION PAYMENT,subscription
APPLE ONLINE ORDER ONLINE ORDER,shopping
zalando bank transfer online purchase,shopping
restaurant payment dinner bill,restaurant
company ltd monthly salary,salary
MAXIMA GROCERY STORE PURCHASE,groceries
Landlord apartment rent May monthly rent,rent
order payment,shopping
Landlord monthly rent,rent
McDonalds cafe purchase,restaurant
Selver inv payment supermarket payment,groceries
Telia utility payment utility payment,utilities
supermarket payment grocery payment,groceries
utility payment elisa,utilities
ELISA APRIL UTILITY BILL,utilities
AMAZON SERVICE PAYMENT,subscription
ONLINE ORDER,shopping
Arvutitark online purchase,shopping
Forus Taxi travel pay,transport
amazon online purchase,shopping
game purchase card pay Apollo Cinema,entertainment
Apple July service payment recurring sub,subscription
LANDLORD NOVEMBER INVOICE PAYMENT,rent
Landlord monthly rent,rent
Zalando card pay,shopping
Apple online order,shopping
youtube july bank transfer,subscription
Elektrilevi July utility pay,utilities
LIDL GROCERY PAYMENT,groceries
September service payment Company Ltd,salary
Coop supermarket pay supermarket pay,groceries
Payroll salary pay,salary
online order online purchase,shopping
Payroll invoice payment,salary
enefit june utility payment,utilities
UBER BANK TRANSFER,transport
bank transfer Lidl,groceries
Vapiano restaurant payment,restaurant
pharmacy purchase Benu,healthcare
monthly subscription payment,subscription
,rent
Company Ltd monthly salary,salary
grocery store purchase,groceries
hesburger bank transfer,restaurant
grocery payment lidl,groceries
Selver inv payment,groceries
Uber travel inv,transport
January invoice pay utility pay,utilities
Uber card pay,transport
APPLE ONLINE SHOPPING,shopping
apple october monthly subscription payment subscription payment,subscription
playstation bank transfer,entertainment
JOYCE SERVICE PAYMENT,restaurant
Hesburger lunch payment,restaurant
NETFLIX CARD PAYMENT,entertainment
CARD PAYMENT APPLE,shopping
SUPERMARKET PAYMENT,groceries
Rental Agency rent pay rental pay,rent
february service payment,salary
JANUARY RECURRING SUBSCRIPTION,subscription
bank transfer PlayStation,entertainment
CINEMA PAYMENT CONCERT TICKET,entertainment
Landlord service pay,rent
playstation concert ticket,entertainment
payroll wage transfer salary payment,salary
TELIA RECURRING SUBSCRIPTION,subscription
Spotify concert ticket,entertainment
COMPANY LTD BANK TRANSFER,salary
COOP GROCERY STORE PURCHASE,groceries
November card pay,rent
October utility bill,utilities
TRAVEL PAYMENT,transport
Enefit invoice payment,utilities
Benu card pay,healthcare
Maxima card payment,groceries
Payroll wage transfer,salary
rental payment,rent
Bolt bank transfer,transport
euronics card payment,shopping
Payroll wage transfer,salary
Benu medical payment,healthcare
APPLE SUBSCRIPTION PAYMENT,subscription
Netflix invoice pay,entertainment
BOLT TRAVEL INVOICE,transport
McDonalds cafe purchase cafe purchase,restaurant
SELVER GROCERY STORE PURCHASE,groceries
HESBURGER INVOICE PAYMENT,restaurant
bolt travel payment,transport
Microsoft service payment subscription payment,subscription
online shopping online shopping Arvutitark,shopping
Microsoft September recurring subscription,subscription
salary payment,salary
travel payment uber,transport
bank transfer Coop,groceries
PROPERTY MANAGEMENT BANK TRANSFER,rent
CONFIDO MEDICAL PAYMENT DOCTOR BILL,healthcare
recurring subscription,subscription
online order,shopping
Maxima grocery store purchase supermarket pay,groceries
vapiano restaurant payment,restaurant
apotheka doctor bill,healthcare
enefit card payment,utilities
PAYROLL DECEMBER SALARY PAYMENT WAGE TRANSFER,salary
cinema payment,entertainment
Elektrilevi invoice payment,utilities
COMPANY LTD BANK TRANSFER,salary
SYNLAB DOCTOR BILL,healthcare
landlord invoice payment,rent
employer wage transfer,salary
APPLE ONLINE ORDER,shopping
CONCERT TICKET,entertainment
Property Management invoice pay,rent
PlayStation cinema pay,entertainment
Telia utility pay,utilities
doctor bill,healthcare
NETFLIX OCTOBER RECURRING SUBSCRIPTION RECURRING SUBSCRIPTION,subscription
RENTAL PAYMENT,rent
McDonalds service pay,restaurant
ONLINE PURCHASE,shopping
Zalando online order online purchase,shopping
Synlab medical pay doctor bill,healthcare
invoice payment company ltd,salary
apollo cinema concert ticket,entertainment
online shopping,shopping
