purpose_text,transaction_type
vapiano cafe purchase,restaurant
microsoft monthly subscription payment,subscription
forus taxi travel inv travel payment,transport
company ltd wage transfer,salary
steam movie ticket game purchase,entertainment
forus taxi service pay,transport
enefit july bank transfer,utilities
company ltd monthly salary,salary
forus taxi ride payment,transport
rental pay august,rent
elektrilevi january utility payment,utilities
apollo cinema service pay,entertainment
hesburger lunch payment restaurant payment,restaurant
forus taxi travel invoice,transport
apollo cinema game purchase cinema payment,entertainment
rental agency monthly rent,rent
wage transfer,salary
service payment arvutitark,shopping
bank transfer playstation,entertainment
company ltd may card payment,salary
microsoft subscription payment,subscription
landlord rental pay monthly rent,rent
elektrilevi utility payment,utilities
bank transfer maxima,groceries
forus taxi service payment,transport
benu doctor bill,healthcare
steam cinema payment,entertainment
forus taxi travel payment,transport
company ltd monthly salary,salary
coop service payment,groceries
employer card pay,salary
zalando online shopping online shopping,shopping
lidl grocery store purchase,groceries
telia may bank transfer,utilities
playstation game purchase,entertainment
cafe purchase,restaurant
telia monthly subscription payment,subscription
hesburger food delivery order,restaurant
employer bank transfer,salary
benu pharmacy purchase,healthcare
employer october wage transfer,salary
euronics online order,shopping
recurring subscription pay,subscription
property management rent pay,rent
elisa september utility bill utility bill,utilities
spotify invoice payment,entertainment
elisa service payment,utilities
may utility payment,utilities
sub payment,subscription
coop inv payment,groceries
joyce cafe purchase lunch pay,restaurant
benu doctor bill,healthcare
card pay mcdonalds,restaurant
steam game purchase,entertainment
rental agency invoice payment,rent
vapiano restaurant payment dinner bill,restaurant
euronics order payment online purchase,shopping
amazon invoice payment,shopping
ride payment,transport
vapiano card payment,restaurant
lidl grocery payment,groceries
benu medical payment,healthcare
company ltd january monthly salary,salary
microsoft invoice pay,subscription
forus taxi bank transfer,transport
apotheka card pay,healthcare
microsoft monthly subscription payment,subscription
youtube subscription payment,subscription
payroll invoice payment,salary
youtube monthly subscription payment,subscription
uber invoice payment,transport
amazon online order,shopping
synlab doctor bill,healthcare
company ltd september wage transfer monthly salary,salary
landlord september rental payment,rent
travel pay ride invoice,transport
euronics card payment,shopping
employer monthly salary monthly salary,salary
landlord june monthly rent rental payment,rent
ride inv ride payment,transport
forus taxi card payment,transport
october bank transfer,utilities
selver grocery store purchase,groceries
forus taxi invoice payment,transport
joyce dinner bill,restaurant
payroll invoice pay monthly salary,salary
employer january card payment,salary
landlord april bank transfer,rent
apollo cinema payment,entertainment
mcdonalds cafe purchase food delivery order,restaurant
employer card payment,salary
company ltd wage transfer,salary
monthly rent rental pay,rent
joyce cafe purchase,restaurant
pharmacy purchase synlab,healthcare
maxima bank transfer,groceries
amazon bank transfer,shopping
service payment netflix,entertainment
elektrilevi invoice payment,utilities
hesburger restaurant payment,restaurant
euronics bank transfer online purchase,shopping
payroll salary payment,salary
apotheka card pay,healthcare
elisa march bank transfer,utilities
amazon invoice payment,shopping
utility pay,utilities
rent payment,rent
telia subscription payment,subscription
property management april rental payment,rent
arvutitark online purchase,shopping
uber ride payment,transport
company ltd monthly salary,salary
euronics service payment,shopping
apple card pay monthly subscription pay,subscription
mcdonalds lunch payment food delivery order,restaurant
bolt ride payment,transport
utility bill,utilities
netflix june subscription payment,subscription
enefit utility bill,utilities
apartment rent april property management rent payment,rent
ride invoice forus taxi,transport
landlord bank transfer,rent
joyce inv payment,restaurant
payroll december bank transfer,salary
doctor bill inv payment synlab,healthcare
elektrilevi utility payment,utilities
mcdonalds cafe purchase,restaurant
youtube july recurring sub,subscription
employer april wage transfer,salary
arvutitark order pay,shopping
card payment maxima,groceries
zalando service payment,shopping
company ltd monthly salary,salary
monthly subscription payment,subscription
maxima inv payment,groceries
hesburger lunch payment,restaurant
company ltd wage transfer,salary
uber invoice payment travel payment,transport
uber travel pay,transport
subscription pay recurring subscription,subscription
spotify cinema pay,entertainment
rental agency apartment rent,rent
rental agency april rental payment,rent
cafe purchase,restaurant
joyce card pay,restaurant
apollo cinema service payment,entertainment
bank transfer maxima,groceries
zalando order payment,shopping
vapiano service payment,restaurant
steam movie ticket,entertainment
benu card payment,healthcare
forus taxi travel payment,transport
coop card payment,groceries
elisa january card payment,utilities
recurring sub,subscription
pharmacy purchase,healthcare
benu invoice payment,healthcare
cinema pay,entertainment
spotify card pay,subscription
amazon invoice payment,shopping
netflix june monthly subscription payment,subscription
supermarket payment,groceries
bank transfer zalando,shopping
rental agency rental payment,rent
zalando invoice payment,shopping
microsoft subscription payment,subscription
bolt ride payment ride invoice,transport
apotheka bank transfer,healthcare
mcdonalds invoice pay,restaurant
synlab pharmacy purchase pharmacy purchase,healthcare
restaurant pay hesburger,restaurant
concert ticket,entertainment
grocery store purchase,groceries
wage transfer,salary
supermarket payment lidl,groceries
rental agency july service payment,rent
utility bill utility payment elisa,utilities
steam concert ticket,entertainment
coop grocery pay,groceries
monthly rent landlord may,rent
uber travel pay,transport
joyce dinner bill dinner bill,restaurant
microsoft february recurring subscription monthly subscription pay,subscription
confido inv payment,healthcare
cinema payment,entertainment
forus taxi ride payment travel payment,transport
netflix card payment,entertainment
forus taxi ride payment ride payment,transport
apotheka pharmacy purchase pharmacy purchase,healthcare
apotheka service pay,healthcare
order payment online order apple,shopping
apollo cinema game purchase,entertainment
steam movie ticket,entertainment
wage transfer salary payment,salary
coop grocery payment,groceries
joyce dinner bill,restaurant
apple inv payment online shopping,shopping
service payment employer,salary
apotheka pharmacy purchase,healthcare
employer wage transfer,salary
joyce restaurant payment,restaurant
grocery store purchase grocery payment lidl,groceries
game purchase,entertainment
apple invoice payment,subscription
online purchase amazon,shopping
apotheka doctor bill,healthcare
landlord service payment rental payment,rent
apple bank transfer monthly subscription payment,subscription
spotify game purchase,entertainment
euronics online order,shopping
rental agency rent payment may,rent
lidl grocery store purchase,groceries
elisa service payment,utilities
playstation card payment,entertainment
lidl supermarket payment grocery payment,groceries
netflix bank transfer,entertainment
amazon service payment,shopping
landlord apartment rent,rent
mcdonalds restaurant payment,restaurant
apotheka doctor bill,healthcare
service payment euronics,shopping
netflix subscription pay,subscription
grocery store purchase coop grocery payment,groceries
company ltd salary payment,salary
apotheka doctor bill,healthcare
company ltd september monthly salary,salary
apollo cinema payment,entertainment
bolt invoice pay travel pay,transport
telia card payment,utilities
pharmacy purchase,healthcare
supermarket pay grocery pay,groceries
coop card pay,groceries
telia monthly subscription pay monthly subscription pay,subscription
forus taxi ride payment,transport
spotify card pay,entertainment
cinema payment,entertainment
apple march subscription payment,subscription
vapiano dinner bill,restaurant
apple september service payment monthly subscription payment,subscription
apollo cinema movie ticket,entertainment
apple card payment,shopping
landlord october rental payment,rent
telia december invoice payment,utilities
vapiano dinner bill dinner bill,restaurant
apollo cinema game purchase movie ticket,entertainment
ride payment travel payment,transport
youtube service pay,subscription
maxima supermarket payment,groceries
amazon bank transfer order pay,shopping
apotheka medical pay,healthcare
forus taxi bank transfer ride pay,transport
card payment property management,rent
monthly salary wage transfer,salary
hesburger service pay,restaurant
maxima invoice pay,groceries
employer salary payment wage transfer,salary
selver grocery payment,groceries
lidl grocery store purchase,groceries
apollo cinema card payment,entertainment
march utility payment,utilities
rental agency august monthly rent,rent
benu doctor bill,healthcare
maxima bank transfer,groceries
salary payment,salary
maxima grocery store purchase,groceries
cinema payment playstation,entertainment
invoice pay netflix,entertainment
amazon online purchase,shopping
june telia bank transfer,utilities
medical pay,healthcare
september wage transfer salary payment payroll,salary
card payment coop,groceries
travel invoice,transport
june apartment rent rental pay,rent
landlord may rental payment rental payment,rent
bolt travel invoice ride payment,transport
invoice payment steam,entertainment
vapiano restaurant payment,restaurant
benu doctor bill,healthcare
synlab doctor bill,healthcare
apollo cinema bank transfer,entertainment
elektrilevi utility bill utility pay,utilities
order payment,shopping
apotheka doctor bill,healthcare
forus taxi travel inv,transport
apollo cinema game purchase,entertainment
benu medical pay,healthcare
apotheka card payment doctor bill,healthcare
telia may utility payment,utilities
forus taxi ride pay,transport
travel invoice travel invoice,transport
apotheka medical payment,healthcare
mcdonalds invoice payment,restaurant
travel invoice bolt travel payment,transport
uber ride invoice travel payment,transport
benu doctor bill,healthcare
apotheka medical payment,healthcare
spotify cinema pay,entertainment
doctor bill doctor bill,healthcare
movie ticket,entertainment
bank transfer company ltd,salary
bolt travel inv,transport
joyce food delivery order,restaurant
amazon sub payment,subscription
uber travel payment ride invoice,transport
microsoft bank transfer,subscription
apple order pay,shopping
confido medical payment,healthcare
arvutitark service payment,shopping
amazon bank transfer,subscription
service payment zalando,shopping
youtube recurring sub recurring sub,subscription
amazon bank transfer order payment,shopping
bolt bank transfer,transport
movie ticket,entertainment
apple sub payment,subscription
apartment rent june landlord,rent
vapiano lunch pay,restaurant
june sub payment,subscription
apotheka doctor bill,healthcare
forus taxi ride inv,transport
company ltd bank transfer,salary
company ltd invoice payment,salary
food delivery order,restaurant
lidl invoice payment,groceries
enefit october utility bill,utilities
employer august salary payment,salary
payroll service payment,salary
enefit bank transfer,utilities
salary payment payroll,salary
cinema payment steam invoice payment,entertainment
benu card payment,healthcare
invoice payment hesburger,restaurant
forus taxi travel invoice,transport
forus taxi travel invoice,transport
mcdonalds restaurant payment,restaurant
forus taxi travel invoice,transport
forus taxi travel invoice,transport
apartment rent rental agency,rent
employer monthly salary payment,salary
telia utility payment,utilities
youtube january subscription payment,subscription
apple online order online order,shopping
zalando bank transfer online purchase,shopping
restaurant payment dinner bill,restaurant
company ltd monthly salary,salary
maxima grocery store purchase,groceries
landlord apartment rent may monthly rent,rent
order payment,shopping
landlord monthly rent,rent
mcdonalds cafe purchase,restaurant
selver inv payment supermarket payment,groceries
telia utility payment utility payment,utilities
supermarket payment grocery payment,groceries
utility payment elisa,utilities
elisa april utility bill,utilities
amazon service payment,subscription
online order,shopping
arvutitark online purchase,shopping
forus taxi travel pay,transport
amazon online purchase,shopping
game purchase card pay apollo cinema,entertainment
apple july service payment recurring sub,subscription
landlord november invoice payment,rent
landlord monthly rent,rent
zalando card pay,shopping
apple online order,shopping
youtube july bank transfer,subscription
elektrilevi july utility pay,utilities
lidl grocery payment,groceries
september service payment company ltd,salary
coop supermarket pay supermarket pay,groceries
payroll salary pay,salary
online order online purchase,shopping
payroll invoice payment,salary
enefit june utility payment,utilities
uber bank transfer,transport
bank transfer lidl,groceries
vapiano restaurant payment,restaurant
pharmacy purchase benu,healthcare
monthly subscription payment,subscription
company ltd monthly salary,salary
grocery store purchase,groceries
hesburger bank transfer,restaurant
grocery payment lidl,groceries
selver inv payment,groceries
uber travel inv,transport
january invoice pay utility pay,utilities
uber card pay,transport
apple online shopping,shopping
apple october monthly subscription payment subscription payment,subscription
playstation bank transfer,entertainment
joyce service payment,restaurant
hesburger lunch payment,restaurant
netflix card payment,entertainment
card payment apple,shopping
supermarket payment,groceries
rental agency rent pay rental pay,rent
february service payment,salary
january recurring subscription,subscription
bank transfer playstation,entertainment
cinema payment concert ticket,entertainment
landlord service pay,rent
playstation concert ticket,entertainment
payroll wage transfer salary payment,salary
telia recurring subscription,subscription
spotify concert ticket,entertainment
company ltd bank transfer,salary
coop grocery store purchase,groceries
november card pay,rent
october utility bill,utilities
travel payment,transport
enefit invoice payment,utilities
benu card pay,healthcare
maxima card payment,groceries
payroll wage transfer,salary
rental payment,rent
bolt bank transfer,transport
euronics card payment,shopping
payroll wage transfer,salary
benu medical payment,healthcare
apple subscription payment,subscription
netflix invoice pay,entertainment
bolt travel invoice,transport
mcdonalds cafe purchase cafe purchase,restaurant
selver grocery store purchase,groceries
hesburger invoice payment,restaurant
bolt travel payment,transport
microsoft service payment subscription payment,subscription
online shopping online shopping arvutitark,shopping
microsoft september recurring subscription,subscription
salary payment,salary
travel payment uber,transport
bank transfer coop,groceries
property management bank transfer,rent
confido medical payment doctor bill,healthcare
recurring subscription,subscription
online order,shopping
maxima grocery store purchase supermarket pay,groceries
vapiano restaurant payment,restaurant
apotheka doctor bill,healthcare
enefit card payment,utilities
payroll december salary payment wage transfer,salary
cinema payment,entertainment
elektrilevi invoice payment,utilities
company ltd bank transfer,salary
synlab doctor bill,healthcare
landlord invoice payment,rent
employer wage transfer,salary
apple online order,shopping
concert ticket,entertainment
property management invoice pay,rent
playstation cinema pay,entertainment
telia utility pay,utilities
doctor bill,healthcare
netflix october recurring subscription recurring subscription,subscription
rental payment,rent
mcdonalds service pay,restaurant
online purchase,shopping
zalando online order online purchase,shopping
synlab medical pay doctor bill,healthcare
invoice payment company ltd,salary
apollo cinema concert ticket,entertainment
online shopping,shopping
